id,url,product_title,brand,images,rating,price_before_sale,sale_flag,price_after_sale,details,specifications,material,material_polyester_flag,material_cotton_flag,material_viscose_flag,material_elastane_flag,material_nylon_flag,material_polyester_percentage
0,https://www.thebay.com/product/only-lane-button-front-check-shacket-0600092336058.html?dwvar_0600092336058_color=EVERGREEN, Lane Button-Front Check Shacket,ONLY,"https://image.s5a.com/is/image/TheBay/5715098520037_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715098520037_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715098520037_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715098520037_alt3?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,109.0,1,76.3,Live your cozy dreams in this check shacket designed in a longline fit with front buttons and handy pockets,"Spread collar, Long sleeves, Front button closure, Flap pockets, Curved hem, polyester, Dry clean, Imported",100% polyester,1,0,0,0,0,100
1,https://www.thebay.com/product/mango-relaxed-knit-quarter-zip-sweater-0600092384226.html?dwvar_0600092384226_color=LIGHT_BEIGE, Relaxed-Knit Quarter-Zip Sweater,Mango,"https://image.s5a.com/is/image/TheBay/8445438386074_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/8445438386074_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/8445438386074_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/8445438386074_alt3?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/8445438386074_alt4?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/8445438386074_alt5?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,99.99,1,74.99,A slouchy pocketed silhouette coupled with blouson sleeves and a rib-knit zipped neck add dimension to this all-season sweater,"Rib-knit mockneck, Dropped shoulders, Long blouson sleeves with waffle-knit cuffs, Front quarter-zip closure, Chest flap patch pockets, Ribbed hem, viscose/, elastane/, polyamide, Hand wash, Imported",49% viscose/28% elastane/23% polyamide,0,0,1,1,0,0
2,https://www.thebay.com/product/levis-high-waist-distressed-straight-jeans-0600092270040.html?dwvar_0600092270040_color=QUITE_CHUR, High-Waist Distressed Straight Jeans,Levi's,"https://image.s5a.com/is/image/TheBay/800322824564_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/800322824564_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,89.95,1,59.99,"Cut in a waist-emphasizing high rise silhouette, these stunning jeans are finished with a classic straight leg","Five-pocket style, Zip fly with front button closure, Distressed detailing at the knees, cotton, Machine wash, Imported",100% cotton,0,1,0,0,0,0
3,https://www.thebay.com/product/design-lab-jessica-plaid-wool-blend-shacket-0600092309602.html?dwvar_0600092309602_color=RED, Jessica Plaid Wool-Blend Shacket,Design Lab,"https://image.s5a.com/is/image/TheBay/882870165849_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/882870165849_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",5.0,84.0,1,58.8,"An amalgamation of a shirt and jacket, this shacket is graced with a plaid print and a curved hem","Spread collar, Long sleeves with buttoned cuffs, Front button closure, Chest button flap pockets, Curved hem, Polyester/acrylic/nylon/wool/other, Dry clean, Imported",NA,0,0,0,0,1,0
4,https://www.thebay.com/product/free-people-ottoman-slouchy-tunic-0600089459650.html?dwvar_0600089459650_color=CREAM, Ottoman Slouchy Tunic,Free People,"https://image.s5a.com/is/image/TheBay/190380577725_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",3.7,204.0,1,163.2,Knitted cotton-blend tunic with a unique funnel neck,"Funnel neck, Long sleeves, Rib-knit cuffs and hem, Pullover style, Cotton/nylon/spandex, Hand wash, Imported",NA,0,1,0,0,1,0
5,https://www.thebay.com/product/only-faux-fur-teddy-shacket-0600092237844.html?dwvar_0600092237844_color=KALAMATA, Faux Fur Teddy Shacket,ONLY,"https://image.s5a.com/is/image/TheBay/5715105126191_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715105126191_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,109.0,1,70.85,"Cozy up in this shacket, featuring a plush faux teddy exterior and front button closure","Spread collar, Long sleeves, Front button closure, Chest flap buttoned pockets, polyester, Fur type: , Faux, Spot clean, Imported",100% polyester,1,0,0,0,0,100
6,https://www.thebay.com/product/vero-moda-long-sleeve-highneck-blouse-0600092281116.html?dwvar_0600092281116_color=PARTICULARLY, Long-Sleeve Highneck Blouse,VERO MODA,"https://image.s5a.com/is/image/TheBay/5715103846947_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103846947_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103846947_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103846947_alt3?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103846947_alt4?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,39.0,1,23.4,A regular fit and soft and stretchy ribbed structure make this blouse a must-have for chilly weather,"Highneck, Long sleeves, Pullover style, Drop shoulders, recycled polyester/, polyester, Machine wash, Imported",50% recycled polyester/50% polyester,1,0,0,0,0,50
7,https://www.thebay.com/product/vero-moda-ribbed-pants-0600092281086.html?dwvar_0600092281086_color=PORT_ROYALE, Ribbed Pants,VERO MODA,"https://image.s5a.com/is/image/TheBay/5715103847777_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103847777_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103847777_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103847777_alt3?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,49.0,1,29.4,An elastic waistband and ribbed structure lend effortless style to these breezy pants,"Elastic waistband, Pull-on style, Ribbed structure, recycled polyester/, polyester, Machine wash, Imported",50% recycled polyester/50% polyester,1,0,0,0,0,50
8,https://www.thebay.com/product/only-teddy-long-waistcoat-0600092293704.html?dwvar_0600092293704_color=NOMAD, Teddy Long Waistcoat,ONLY,"https://image.s5a.com/is/image/TheBay/5715098213793_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715098213793_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715098213793_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715098213793_alt3?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715098213793_alt4?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,109.0,1,76.3,Modern waistcoat with a notch lapel for a stylish look,"Notch lapels, Sleeveless, Front button closure, Side slip pockets, polyester, Dry clean, Imported",100% polyester,1,0,0,0,0,100
9,https://www.thebay.com/product/vero-moda-edith-long-sleeve-hooded-sweatshirt-0600092340684.html?dwvar_0600092340684_color=LIGHT_GREY, Edith Long-Sleeve Hooded Sweatshirt,VERO MODA,"https://image.s5a.com/is/image/TheBay/5715103901752_main?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103901752_alt1?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103901752_alt2?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103901752_alt3?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0 https://image.s5a.com/is/image/TheBay/5715103901752_alt4?wid=480&hei=640&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0",NA,55.0,1,33.0,"to keep the wearer looking cool, whilst locking in the warmth, this hooded sweatshirt is built from knitted organic cotton for all-day comfort","Hooded neck with drawstring fastening, Long sleeves, Pullover style, Ribbed cuffs and hem, viscose , L, E, N, Z, I, N, G™, E, C, O, V, E, R, O™/, polyester, Machine wash, Imported","77% viscose , 23% polyester",1,1,1,0,0,23
